" sure,19
's great,19
's more,19
's still,19
, a,19
- and,19
- i,19
? at,19
? dunno,19
? k,19
? like,19
? to,19
I AM,19
I get,19
a damned,19
about you,19
and how,19
and make,19
and when,19
anything else,19
anyway ,,19
be like,19
better ?,19
can we,19
check out,19
close to,19
copy of,19
did they,19
get them,19
getting a,19
haha i,19
has the,19
hi whats,19
i always,19
i remember,19
in ",19
in his,19
in there,19
is ok,19
it now,19
just for,19
like fun,19
made a,19
maria and,19
me I,19
me but,19
mean i,19
my laptop,19
n't the,19
next time,19
next week,19
night ",19
not be,19
of her,19
of things,19
of time,19
one on,19
one thing,19
really like,19
right now.,19
sent you,19
shit to,19
so the,19
sure it,19
that bad,19
that has,19
the boat,19
the brochure,19
the show,19
the size,19
then again,19
there and,19
they get,19
they had,19
they would,19
time ?,19
to finish,19
to print,19
to spend,19
um ,,19
was my,19
was on,19
we talked,19
where 's,19
which one,19
who are,19
wish I,19
with some,19
yeah he,19
yes that,19
! oh,18
" thanks,18
" u,18
$ 100,18
'll come,18
'll find,18
'm out,18
'm sorry,18
's how,18
: *,18
: -P,18
: f,18
I wish,18
It 's,18
LOL :,18
a bitch,18
a bunch,18
a girl,18
a meeting,18
a message,18
a pretty,18
a real,18
a whole,18
about your,18
after the,18
and go,18
are coming,18
around the,18
back and,18
because he,18
because she,18
buy it,18
day i,18
do I,18
do not,18
do some,18
do something,18
do this,18
dunno i,18
else is,18
even know,18
find it,18
for real,18
front of,18
good ",18
good good,18
got an,18
he would,18
her and,18
her i,18
i bought,18
i say,18
i tried,18
if there,18
if u,18
in one,18
in person,18
in town,18
is at,18
it goes,18
it right,18
less than,18
like ,,18
made me,18
making a,18
maybe you,18
me it,18
me off,18
move in,18
must be,18
n't wait,18
nice to,18
no ",18
not my,18
of all,18
of mine,18
of our,18
of which,18
ok and,18
ok ok,18
oke doke,18
on friday,18
one in,18
other people,18
over ?,18
over here,18
pain in,18
people are,18
put a,18
reason i,18
saying that,18
seen it,18
she 'll,18
she did,18
shit out,18
side of,18
so many,18
so she,18
some reason,18
stay in,18
ta run,18
tell them,18
thanks i,18
that does,18
that too,18
the flash,18
the music,18
the street,18
the week,18
then it,18
to deal,18
to explain,18
told her,18
u get,18
u up,18
way of,18
well that,18
what does,18
when did,18
when is,18
where i,18
willing to,18
work i,18
would love,18
ya ?,18
yay !,18
yeah and,18
yes I,18
you not,18
you seen,18
you sent,18
you there,18
you use,18
! how,17
" all,17
" who,17
" yo,17
'll try,17
'm coming,17
'm looking,17
'm really,17
's only,17
, she,17
, there,17
? all,17
? going,17
? hi,17
? im,17
? its,17
? of,17
? pretty,17
? some,17
? there,17
I 'd,17
I really,17
a pain,17
about what,17
am i,17
and so,17
are in,17
at once,17
at some,17
be at,17
be too,17
both of,17
can u,17
care of,17
come and,17
could do,17
do is,17
does he,17
does not,17
enjoy it,17
even though,17
fact that,17
for all,17
found it,17
from me,17
get me,17
get on,17
go and,17
going back,17
good thing,17
got home,17
hanging out,17
here 's,17
here i,17
his own,17
how ?,17
i believe,17
i keep,17
i talked,17
i wan,17
in and,17
in mind,17
it sounds,17
it what,17
it yeah,17
just as,17
k ?,17
know about,17
know why,17
like my,17
makes sense,17
man ,,17
maybe the,17
me out,17
more like,17
much ,,17
my place,17
n't a,17
n't feel,17
n't find,17
new one,17
night was,17
not for,17
of his,17
of their,17
off ?,17
ok then,17
ok you,17
on campus,17
on our,17
on there,17
on what,17
or just,17
or whatever,17
or you,17
pics ?,17
put on,17
so ?,17
something i,17
soon as,17
speaking of,17
talked about,17
than that,17
that sounds,17
that to,17
the morning,17
the old,17
thing ",17
thing ?,17
things are,17
think ",17
think there,17
this girl,17
this i,17
those are,17
to decide,17
today and,17
too !,17
u can,17
u do,17
why is,17
will get,17
woke up,17
worth it,17
yeah I,17
yes but,17
you come,17
you laters,17
you must,17
you say,17
you soon,17
your computer,17
" The,16
" actually,16
" dude,16
" on,16
" sounds,16
" where,16
'll let,16
'm at,16
's no,16
's ok,16
, as,16
: E,16
? probably,16
? where,16
? why,16
LOL I,16
about how,16
actually ,,16
again ",16
again ,,16
agree with,16
already ?,16
and there,16
are all,16
are very,16
as in,16
as soon,16
ask you,16
asked me,16
been doing,16
better i,16
boat party,16
bunch of,16
but there,16
do a,16
do we,16
easy to,16
everything is,16
figure it,16
get paid,16
get this,16
go on,16
had one,16
have all,16
have my,16
he just,16
he needs,16
help you,16
here in,16
high school,16
him in,16
i forgot,16
i only,16
idea i,16
im sure,16
is ",16
is for,16
is more,16
is you,16
it could,16
it yet,16
just get,16
keep it,16
know of,16
let it,16
live with,16
me of,16
mikee I,16
my cell,16
my last,16
n't been,16
none of,16
not on,16
not what,16
now what,16
np i,16
of fun,16
of these,16
ok :,16
or at,16
probably not,16
put together,16
quite the,16
see ?,16
shit ",16
shit and,16
showed up,16
size of,16
so fucking,16
something ",16
something ?,16
something about,16
that there,16
the bath,16
the deal,16
the ones,16
the past,16
things to,16
this afternoon,16
this was,16
to fuck,16
to happen,16
to kill,16
to now,16
to read,16
to set,16
type of,16
u need,16
um i,16
user site,16
very well,16
wait until,16
was all,16
was at,16
we did,16
week ?,16
well ?,16
what if,16
whatever you,16
when do,16
who was,16
whole thing,16
why are,16
with ",16
yeah the,16
yeah what,16
you I,16
you with,16
your name,16
! ha,15
" $,15
" Your,15
" are,15
" cool,15
'd love,15
're right,15
's also,15
's for,15
's too,15
, all,15
, in,15
, well,15
, when,15
: ",15
< sigh,15
? because,15
? on,15
I should,15
LOL ",15
Smiling Screens,15
a ",15
a guy,15
a lil,15
a look,15
a pic,15
again i,15
ah i,15
all ",15
all night,15
all these,15
and put,15
and take,15
and this,15
and to,15
and was,15
back ?,15
back on,15
based on,15
be better,15
because the,15
before they,15
before you,15
better to,15
but ,,15
call him,15
came out,15
can make,15
can not,15
can put,15
can talk,15
change the,15
come ?,15
come on,15
coming ?,15
cuz i,15
dig it,15
do ",15
does she,15
doing this,15
down and,15
easier to,15
for like,15
for one,15
from you,15
fuck that,15
funny i,15
get her,15
get up,15
go for,15
go see,15
good one,15
good time,15
got in,15
guess you,15
help ?,15
hey !,15
hey ,,15
hope so,15
i already,15
i call,15
i find,15
i left,15
i put,15
if the,15
im not,15
in like,15
is fine,15
is no,15
is still,15
it be,15
it he,15
it or,15
it this,15
it when,15
job ?,15
k :,15
last one,15
like 5,15
like I,15
like he,15
make me,15
me he,15
meet you,15
mikee yes,15
my car,15
my hair,15
my new,15
my shit,15
my way,15
n't believe,15
n't remember,15
na get,15
no not,15
no plans,15
not have,15
not just,15
oh shit,15
ok but,15
on Friday,15
on one,15
one way,15
one you,15
people who,15
problem is,15
read it,15
really that,15
right but,15
same thing,15
sent me,15
should get,15
shut up,15
sigh >,15
sign off,15
starting to,15
the by,15
the computer,15
the situation,15
